ID,country,owner_age,attitude_stable_business_environment,attitude_worried_shutdown,compliance_income_tax,perception_insurance_doesnt_cover_losses,perception_cannot_afford_insurance,business_age_years,motor_vehicle_insurance,has_mobile_money,current_problem_cash_flow,has_cellphone,owner_sex,offers_credit_to_customers,attitude_satisfied_with_achievement,has_credit_card,keeps_financial_records,perception_insurance_companies_dont_insure_businesses_like_yours,perception_insurance_important,has_insurance,covid_essential_service,attitude_more_successful_next_year,problem_sourcing_money,marketing_word_of_mouth,has_loan_account,has_internet_banking,has_debit_card,future_risk_theft_stock,business_age_months,medical_insurance,funeral_insurance,motivation_make_more_money,uses_friends_family_savings,uses_informal_lender,Target,total_age_in_months,stability_index,profit_ratio,country_x_cashflow,country_x_insurance,log_turnover,log_expenses,log_income,income_stability,maturity
ID_3CFL0U,eswatini,1.5995002984570046,yes,no,no,no,yes,0.9318274050649095,0,have now,yes,yes,male,"yes, sometimes",no,never had,"yes, always",yes,yes,no,yes,yes,yes,yes,never had,never had,never had,no,6.0,0,2,yes,never had,never had,Low,17.181928860778914,-0.1148143279706816,-0.0922005095270264,eswatini_yes,eswatini_no,-0.16319453379682952,-0.07500005654662324,-0.10606163834143317,-0.11466123764879889,20.532763652630422
ID_XWI7G3,zimbabwe,-0.20320585593544915,no,yes,yes,no,yes,1.0640227555562998,3,have now,yes,yes,male,"yes, sometimes",yes,never had,"yes, always",no,yes,yes,yes,yes,yes,yes,never had,never had,never had,no,3.0,0,0,yes,never had,never had,Medium,15.768273066675597,-0.11535295173389795,-0.09177015960267276,zimbabwe_yes,zimbabwe_yes,-0.16332975017833173,-0.07552937156324593,-0.10649747825284919,-0.11519833619044503,18.846460801058146
ID_TY93LV,malawi,-0.5787696381005437,yes,no,no,no,yes,-0.25793074935760363,0,never had,yes,yes,male,"yes, sometimes",yes,never had,no,don?t know / doesn?t apply,yes,no,no,yes,yes,no,never had,never had,never had,yes,0.0,0,0,yes,never had,never had,Low,-3.0951689922912435,-0.10210255206390913,-0.09131518723923195,malawi_yes,malawi_no,-0.162383619235858,-0.07500005654662324,-0.09436519563225149,-0.10201643394695821,-3.695210675640772
ID_9OP2C8,malawi,-1.0294461766986571,yes,no,no,no,no,-0.786712151323165,0,have now,no,yes,female,"yes, sometimes",no,never had,no,no,yes,no,no,yes,no,no,never had,never had,never had,no,0.0,0,0,yes,never had,have now,Low,-9.440545815877979,-0.03395227937168287,-0.09918567150377228,malawi_no,malawi_no,-0.16008959259545888,-0.06551998558041466,-0.03176446101355711,-0.03399158946517045,-11.239943847166735
ID_13REYS,zimbabwe,0.09724516979662648,yes,no,no,yes,yes,-0.5223214503403844,0,have now,yes,no,female,"yes, sometimes",yes,never had,no,yes,yes,no,no,yes,yes,yes,never had,never had,never had,no,0.0,0,0,yes,never had,never had,Low,-6.267857404084612,-0.11629135836812032,-0.09227490541406053,zimbabwe_yes,zimbabwe_no,-0.16389785872076143,-0.07563526819580364,-0.10734791283153486,-0.11613155406958327,-7.496521172036198
ID_57I1NI,lesotho,-0.20320585593544915,yes,no,no,no,yes,-0.9189075018145554,0,have now,yes,yes,female,"yes, sometimes",yes,never had,no,no,yes,no,don't know,yes,no,yes,never had,never had,never had,no,0.0,0,0,yes,used to have but don't have now,used to have but don't have now,Low,-11.026890021774665,-0.11624840157721031,-0.09207123797932913,lesotho_yes,lesotho_no,-0.1641333125585964,-0.07605720111886749,-0.10726065547952165,-0.11609014714916459,-13.192163520151865
ID_L3TKQV,lesotho,-1.254784445997714,yes,yes,no,no,no,0.006459951625177069,0,have now,yes,yes,female,"yes, sometimes",yes,never had,no,no,yes,no,yes,yes,no,yes,never had,never had,never had,no,0.0,0,0,yes,used to have but don't have now,used to have but don't have now,Medium,0.07751941950212483,-0.11159996977185581,-0.0918951920794283,lesotho_yes,lesotho_no,-0.16373550905828074,-0.07582061429098702,-0.10301606617913245,-0.11146760874794936,0.09269725109914692
ID_KB700U,eswatini,0.17235792622964538,yes,yes,no,yes,yes,-0.786712151323165,0,have now,yes,yes,male,no,no,never had,"yes, always",no,yes,no,don't know,yes,yes,yes,never had,never had,never had,no,0.0,0,0,yes,never had,never had,Low,-9.440545815877979,-0.10956487178665592,-0.09150151589488713,eswatini_yes,eswatini_no,-0.1621134604458255,-0.07455917462089164,-0.10127989470484008,-0.10943962263967619,-11.267093299888952
ID_DUQI8U,zimbabwe,-0.5787696381005437,yes,no,no,yes,yes,-0.25793074935760363,0,have now,yes,yes,female,no,yes,never had,"yes, sometimes",don't know,do not know / n‎/a,no,no,yes,yes,yes,never had,never had,never had,no,0.0,0,3,yes,never had,never had,Medium,-3.0951689922912435,-0.11625954571494061,-0.09190562581266032,zimbabwe_yes,zimbabwe_no,-0.16368680929878704,-0.07576235895925743,-0.10730428320379758,-0.11610031710347464,-3.7009687599164574
ID_27YH6U,eswatini,1.7497258113230425,yes,no,yes,no,no,1.7249995080132514,3,have now,yes,yes,male,no,no,never had,"yes, always",no,yes,yes,no,yes,yes,yes,never had,never had,have now,no,5.0,0,3,yes,never had,never had,Medium,25.699994096159017,-0.11380336899614901,-0.09056668700185447,eswatini_yes,eswatini_yes,-0.16116847902992584,-0.07447102155617187,-0.1051905279742668,-0.1136544942667627,30.637849739406587
